Sentence,Sign Language
මුවාට දුවන්න බැරි වුණා,මුවා දුවනවා බෑ වෙනවා
සිංහයා ළඟ ළඟම එනවා මුවා දැක්කා,සිංහයා ළඟ ළඟ එනවා මුවා දකිනවා
මුවා දඟලන්න පටන් ගත්තා,මුවා දඟලනවා පටන්ගන්නවා
පැටලුන අං කකුලක උදව්වෙන් බේරගත්තා,පැටලුනා අං කකුල් උදව්ව බේරගන්නවා
වේගයෙන් දුවලා සිංහයාගෙන් බේරුනා,වේගයෙන් දුවනවා සිංහයා බේරෙනවා
අං තට්ටුව ලස්සනයි,අං තට්ටුව ලස්සන
ඒත් මගේ ජීවිතයේ බේරා දුන්නේ මගේ කකුල්,ඒත් මගේ ජීවිතය බේරනවා මගේ කකුල
හති අරමින් මුවා සිතුවා,හතිඅරිනවා මුවා හිතනවා
අර බලන්න ලස්සන මල්,අර බලනවා ලස්සන මල්
උඩ අත්තක අන්න මලක්,උඩ අත්ත අන්න මල
ඒ මල හරිම ලස්සනයි,ඒ මල ගොඩාක් ලස්සන
අන්න බලන්න මල්,අන්න බලනවා මල්
පාට පාට මල්,පාට පාට මල්
ගස් යට ඉන්නවා,ගස් යට ඉන්නවා
අර බලන්න ලස්සන මල්,අර බලනවා ලස්සන මල්
ලේන් පැටියාට හොඳටම බඩගිනි‍යි,ලේනා පැටියා හොඳ බඩගිනි‍
ලේන් අම්මාට දුකයි,ලේනා අම්මා දුක
ලේන් අම්මා ජම්බු ගෙඩියක් කැඩුවා,ලේනා අම්මා ජම්බු ගෙඩිය කඩනවා
ලේන් පැටියාට දුන්නා,ලේනා පැටියා දෙනවා
අම්මේ මට ජම්බු ගෙඩියක් කඩලා දෙන්න,අම්මා මට ජම්බු ගෙඩිය කඩනවා දෙනවා
ජම්බු තියෙන්නෙ උස අතු වලනේ,ජම්බු තියෙනවා උස අතු
මේ කතාව ලේන් අම්මට ඇහුනා,මේ කතාව ලේන් අම්මා ඇහෙනවා
ලේන් අම්මා ගෙඩියක් කැඩුවා,ලේනා අම්මා ගෙඩිය කැඩනවා
ජම්බු ගෙඩිය බිමට දැම්මා,ජම්බු ගෙඩිය බිම දානවා
ඇයට හරි සතුටුයි,ඇය හරි සතුට
උදෑසනම අවදි වෙලා දත කට මුව සෝදලා,උදෑසන අවදිවෙනවා දත කට මූණ සෝදනවා
දෙමාපියන් පා වැඳලා,දෙමාපියන් කකුල් වදිනවා
පාසල් යනවා,පාසල් යනවා
නැටුම් නටා ගී ගයලා,නැටුම් නටනවා ගීත ගායනාකරනවා
සතුටින් එනවා,සතුට එනවා
සෙල්ලම් ගෙදරක් හදලා ගෙදර ඉන්න හැම දෙනාටම කෑම බෙදනවා,සෙල්ලම් ගෙදර හදනවා ගෙදර ඉන්නවා හැමෝම කෑම බෙදනවා
කොටුවේ මැදටම පැන්නා,කොටුව මැද පනිනවා
කොටුවෙන් කොටුවට පැන්නා,කොටුව කොටුව පනිනවා
අන්තිම කොටුවට සතුටින් පැන්නා,අන්තිම කොටුව සතුට පනිනවා
අලුත් ඇඳුම් රස කැවිලි අපට හරි සතුටුයි,අලුත් ඇඳුම් රස කැවිලි අපට හරි සතුට
පුතා එන්න,පුතා එනවා
දුවත් එන්න,දුව එනවා
නැකත් වෙලාව ළඟයි,නැකත් වෙලාව ළඟ
අම්මයි තාත්තයි අපට කිරිබත් කැව්වා,අම්මා තාත්තා අපට කිරිබත් කනවා
එන්න නංගි අපි අම්මාටයි තාත්තාටයි වදිමු,එනවා නංගි අපි අම්මා තාත්තා වදිනවා
අයියේ යාලුවෝ එනවා,අයියා යාලුවෝ එනවා
එන්න දුව එන්න පුතා,එනවා දුව එනවා පුතා
තාත්තා හැමෝටම ආයුබෝවන් කිව්වා,තාත්තා හැමෝටම ආයුබෝවන් කියනවා
අපි තේ බොමු,අපි තේ බොනවා
කන්න මේ කෑම හරි රසයි,කනවා මේ කෑම හරි රස
හැමෝම තාලෙට රබන් ගැසුවා,හැමෝම තාල රබන් ගසනවා
සුදු හාවා කන් දෙක ඔසවා බැලුවා,සුදු හාවා කන් දෙක ඔසවනවා බලනවා
පඳුර උඩින් පැන පැන ආවා,පඳුර උඩ පනිනවා පනිනවා එනවා
පැන පැන ආ හාවා ආයෙත් වටපිට බැලුවා,පනිනවා පනිනවා එනවා හාවා ආයෙත් වටපිට බලනවා
පහල සතුටින් පිනුමක් ගැහුවා,පහල සතුට පිනුම ගහනවා
සීතල සුළඟක් හැමුවා,සීතල සුළඟ හමනවා
ගස්වල කොළ නැටුවා,ගස් කොළ නටනවා
කුරුලු පැටව් ගී ගැයූවා තාලෙට,කුරුලු පැටව් ගීත ගායනාකරනවා තාල
අත්තටු සැලුවා,අත්තටු සලනවා
අද නිවාඩු දවසක්,අද නිවාඩු දවස
ඔහු මිදුලට බැස්සාම ඇලේ වතුර අඩුයි,ඔහු මිදුල බසිනවා ඇල වතුර අඩු
ඇලේ වතුර හරි පැහැදිලියි,ඇල වතුර හරි පැහැදිලි
මාළුවෝ හොඳට පේනවා,මාළුවා හොඳ පේනවා
බලාගෙන ඉන්න ආසයි,බලනවා ඉන්නවා ආස
මෙන්න පුංචි මාළුවෙක්,මෙන්න පුංචි මාළුවා
පුංචි මාළුවා හරිම සතුටින් එහාට මෙහාට පීනනවා,පුංචි මාළුවා ගොඩාක් සතුට ඒ මේ පීනනවා
උඩට එනවා,උඩ එනවා
යටට යනවා,යට යනවා
පුංචි මාළුවා ආයෙමත් එහාට මෙහාට පීනනවා,පුංචි මාළුවා ආයෙත් ඒ මේ පීනනවා
පුංචි මාළුවෝ මටත් ආසයි පීනන්න,පුංචි මාළුවා මට ආස පීනනවා
ඔයාගේ වරල් මට දෙන්න,ඔයා වරල් මට දෙනවා
පුංචි මාළුවා වතුර යටට පීනා ගියා,පුංචි මාළුවා වතුර යට පීනනවා යනවා
අම්මගෙන් අහන්න වෙන්න ඇති,අම්මා අහනවා ඇති
පුංචි ගැහැණු ළමයෙක් සිටියා,පුංචි ගැහැණු ළමයා ඉන්නවා
එයාට හිටියේ අක්කයි අයියායි,එයා ඉන්නවා අක්කා අයියා
එයා දෙන්නටම ගොඩාක් ආදරෙයි,එයා දෙන්නා ගොඩාක් ආදරය
සමහර වෙලාවට එයාට ගොඩක් කේන්ති යනවා,සමහර වෙලාව එයා ගොඩාක් කේන්ති
අයියා විහිලු කරනකොට කේන්ති වැඩිවෙනවා,අයියා විහිලුකරනවා කේන්ති වැඩිවෙනවා
ඉවසගන්නම බැරි වෙනවා,ඉවසනවා බෑ වෙනවා
දවසක් එයාගේ තාත්තා එයාටයි අක්කාටයි ලස්සන බෝනික්කෙක් ගෙනත් දුන්නා,දවස එයා තාත්තා එයා අක්කා ලස්සන බෝනික්කා ගේනවා දෙනවා
ඔන්න රණ්ඩු වෙන්න එපා,ඔන්න රණ්ඩුවෙනවා එපා
දෙන්නම සෙල්ලම් කරන්න ඕනා,දෙන්නම සෙල්ලම්කරනවා ඕනා
තාත්තා කිව්වා,තාත්තා කියනවා
ඇය හරි ආසයි බෝනික්කාට,ඇය හරි ආස බෝනික්කා
බිම තියන්නවත් හිතුනේ නෑ,බිම තියනවා හිතෙනවා නෑ
අක්කා ඉල්ලුවත් දුන්නේ නෑ,අක්කා ඉල්ලනවා දෙනවා නෑ
ඒත් අක්කාටත් ඒ තරමටම ආස හිතෙනවා ඇති නේද කියලා ඇයට සිතුනේ නෑ,ඒත් අක්කා ඒ තරම් ආසා හිතෙනවා ඇති නේද ඇය සිතනවා නෑ
ඒ නිසා අක්කා එක්ක නිතරම රණ්ඩුවුනා,ඒ නිසා අක්කා නිතර රණ්ඩුවෙනවා
එක දවසක් උදේ ඉඳන් බෝනික්කා එක්ක සෙල්ලම් කරා,එක දවස උදේ බෝනික්කා සමඟ සෙල්ලම්කරනවා
අක්කත් සැරින් සැරේ ඇවිත් බෝනික්කා ඉල්ලුවා,අක්කා සැරින් සැරේ එනවා බෝනික්කා ඉල්ලනවා
ඒත් දුන්නේ නෑ,ඒත් දෙනවා නෑ
තනියම සෙල්ලම් කරන්න තමයි ඇයට සිතුනේ,තනියම සෙල්ලම්කරනවා ඇය හිතනවා
එයා හවස් වෙනකම්ම සෙල්ලම් කරා,එයා හවස වෙනවා සෙල්ලම්කරනවා
අක්කාට දුන්නෙම නෑ,අක්කා දෙනවා නෑ
බෝනික්කා අයිති මටයි,බෝනික්කා අයිතිය මට
අක්කත් තවම චූටිනේ ඔයා වගේම එයත් ආසයි බෝනික්කාට,අක්කා තව චූටි ඔයා එයා ආසා බෝනික්කා
ඒ නිසා අක්කටත් ටිකක් දෙන්න සෙල්ලම් කරන්න,ඒ නිසා අක්කා ටික දෙනවා සෙල්ලම්කරනවා
අම්මා ආදරෙන් කිව්වා,අම්මා ආදරය කියනවා
ඒත් ඇය බෝනික්කා දුන්නේ නෑ,ඒත් ඇය බෝනික්කා දෙනවා නෑ
හවස අක්කා ඇවිත් බෝනික්කා උදුරාගත්තා,හවස අක්කා එනවා බෝනික්කා උදුරාගන්නවා
දෙන්නා රන්ඩුවුනා,දෙක රන්ඩුවෙනවා
අක්කාට පාරක් ගැහුවා,අක්කා ගහනවා
ඒත් අක්කා බෝනික්කා ආපහු දුන්නේ නෑ,ඒත් අක්කා බෝනික්කා ආපහු දෙනවා නෑ
ඇයට හොඳටම කේන්ති ගියා,ඇය හොඳ කේනති
මූණ කැත වුනා,මූණ කැත වෙනවා
ඔයා දවසම සෙල්ලම් කරා,ඔයා දවස සෙල්ලම්කරනවා
දැන් අක්කාගේ වාරේ,දැන් අක්කා වාර
අම්මා සැරෙන් කතා කරා,අම්මා සැර කතාකරනවා
ඇයට තවත් තරහා ගියා,ඇය තවත් තරහායනවා
ඇයගේ මුහුණ දිහා බලාගෙන සිටි අයියාට හිනා ගියා,ඇය මුහුණ දිහා බලනවා ඉන්නවා අයියා හිනාවෙනවා
අයියාගේ හිනාව වැඩිවුනා,අයියා හිනා වැඩිවෙනවා
ඔන්න දැන් කේන්ති වැඩි වේගෙන එනවා,ඔන්න දැන් කේන්ති වැඩිවෙනවා එනවා
අයියා හයියෙන් කියන්න ගත්තා,අයියා හයියෙන් කියනවා
ඇයගේ කේන්තිය තව වැඩිවුනා,ඇය කේන්තිය තව වැඩිවෙනවා
කූඩුව පෙරලන්න හිතුනා,කූඩුව පෙරලනවා හිතෙනවා
මේසේ පෙරලන්න හිතුනා,මේසය පෙරලනවා හිතෙනවා
ළඟ තිබුණු සෙල්ලම් බඩු පෙට්ටියට පයින් ගැහුවා,ළඟ තියෙනවා සෙල්ලම් බඩු පෙට්ටිය පයින් ගහනවා
ඇය අයියාගේ පස්සෙන් දිව්වා,ඇය අයියා සසුපස දුවනවා
අයියා හිනා වෙවී ගෙදර වටේම දුවනවා,අයියා හිනාවෙනවා ගෙදර වටේ දුවනවා
තාත්තා හිනා වෙවී ජනේලයෙන් බැලුවා,තාත්තා හිනාවෙනවා ජනේලය බලනවා
දුව විහිලුවට අරගෙන උත්තර දුන්නේ අයියා,දුව විහිලු අරගන්නවා උත්තරදෙනවා අයියා
මේ කමිසයෙන්වත් අල්ලගන්න විදිහක් නෑ,මේ කමිසය අල්ලගන්නවා විදිහ නෑ
බලු කූඩුව උඩට අත දිග නෑ,බල්ලා කූඩුව උඩ අත දිග නෑ
දැන් නංගිව තවත් කේන්ති නොකර ඉන්න පුතා,දැන් නංගී තව කේන්ති ඉන්නවා පුතා
අම්මා හිනා වෙවී අයියාට කිව්වා,අම්මා හිනාවෙනවා අයියා කියනවා
අම්මාට හිනා ගිය එකටත් දුවට කේන්ති වැඩිවුනා,අම්මා හිනා දුව කේන්ති වැඩිවෙනවා
දැන් හැමෝම දුව දිහා බලාගෙන ඉන්නවා,දැන් හැමෝම දුව බලනවා ඉන්නවා
මට එපා ඔයාලා හැමෝම,මට එපා ඔයා හැමෝම
මම තරහයි,මම තරහයි
ඔයාලා ඔක්කොම එකයි,ඔයා ඔක්කොම එක
අයියා මහ හයියෙන් කෑ ගැහුවා,අයියා මහ හයියෙන් කෑගහනවා
එයාටත් කේන්ති යන දවසක් එයිනේ එදාට මම අල්ලගන්නම්කෝ,එයා කේන්තියනවා දවස එනවා එදාට මම අල්ලගන්නවා
කේන්තියෙන් ඇවිදගෙන ගියා,කේන්ති ඇවිදිනවා යනවා
කේන්තිය වැඩිකමට මොනවා කරන්නද කියලා දුවට හිතාගන්න බැරි වුනා,කේන්තිය වැඩි මොනවාද දුව හිතනවා බෑ වෙනවා
දුව කේන්තියෙන් කල්පනා කරා,දුව කේන්තිය කල්පනාකරනවා
වාඩිවෙලා ඉන්නකොට ඇයට මල් ගණන් කරන්න සිතුනා,වාඩිවෙනවා ඉන්නවා ඇය මල් ගණන්කරනවා හිතනවා
ලේනෙක් ඇවිත් අතු සොලවනවා ඇයට ගණන් වරදිනවා,ලේනා එනවා අතු සොලවනවා ඇය ගණන් වරදිනවා
ජම්බු ඇයගේ ඇඟට වැටෙනවා,ජම්බු ඇය ඇඟ වැටෙනවා
තව ටිකෙන් බිමට වැටෙනවා,තව ටික බිම වැටෙනවා
ඇයට කේන්තිය අමතකවුනා,ඇය කේන්ති අමතකවෙනවා
ඇයගේ මූණ ආයෙත් ලස්සන වෙලා,ඇය මූණ නැවතත් ලස්සන
ගස් අතරින් සීතල සුළඟක් හමාගෙන ආවා,ගස් අතර සීතල සුළඟ හමනවා එනවා
ඇයට අමුතු සනීපයක් දැනුනා,ඇය අමුතු සනීපය දැනෙනවා
ඉර බැහැගෙන ගියා,ඉර බහිනවා යනවා
කුරුල්ලෝ පියාඹලා ගියා,කුරුල්ලා පියාඹනවා යනවා
ටිකෙන් ටික කලුවර වුනා,ටික ටික කලුවර වෙනවා
ඇය වට පිට බැලුවා,ඇය වට පිට බලනවා
මං මොකද මේ මෙතනට වෙලා ඉන්නේ,මං මොකක්ද මේ මෙතන ඉන්නවා
ඇය කල්පනා කරා,ඇය කල්පනාකරනවා
මම අද හවස අක්කා එක්ක රණ්ඩුකලා නේ,මම අද හවස අක්කා රණ්ඩුකරනවා
ඇයි මම රණ්ඩුකලේ,ඇයි මම රණ්ඩුකරනවා
එයා එයාගෙන්ම අහගත්තා,එයා එයා අහනවා
එයා එයාටම උත්තර දුන්නා,එයා එයා උත්තරදෙනවා
ඇයි අක්කා උදුරා ගත්තේ,ඇයි අක්කා උදුරාගන්නවා
මම දුන්නේ නැති නිසා,මම දෙනවා නෑ
ඇයි දුන්නේ නැත්තේ,ඇයි දෙනවා නෑ
ඇය කල්පනා කරා,ඇය කල්පනාකරනවා
මම උදේ ඉඳන් බෝනික්කා එක්ක සෙල්ලම් කළා,මම උදේ බෝනික්කා සමඟ සෙල්ලම්කරනවා
අක්කාට දුන්නේම නෑ,අක්කා දෙනවා නෑ
අක්කත් ආසයිනේ බෝනික්කාට,අක්කා ආසා බෝනික්කා
අක්කා පව්,අක්කා පව්
මම අක්කාට ගැහුවා,මම අක්කා ගහනවා
රිදුනා ද දන්නේ නෑ,රිදෙනවා දන්නවා නෑ
කේන්ති ගියාට කාටවත් ගහන්න හොඳ නෑ,කේන්ති කාටවත් ගහනවා හොඳ නෑ
ගිහින් බලන්න ඕනේ,යනවා බලනවා ඕනා
ඇයට ගොඩක් දුක හිතුනා,ඇය ගොඩාක් දුක හිතෙනවා
ඒත් දැන් කොහොමද ගෙදර යන්නේ,ඒත් දැන් කොහොමද ගෙදර යනවා
ගෙදර ගියාම ඒ ගැන මතක් කරලා හැමෝම විහිලු කරයි ද දන්නේ නෑ,ගෙදර යනවා ඒ ගැන මතක හැමෝම විහිලුකරනවා දන්නවා නෑ
මට හිනා වෙයිද දන්නේ නෑ,මට හිනාවෙනවා දන්නවා නෑ
හෙමින් හිමින් යන්න ඕනෙ බලන්න,හෙමින් හිමින් යනවා ඕනා බලනවා
හෙමින් ගිහින් ගෙදරට ආවා,හෙමින් යනවා ගෙදර එනවා
නංගි එන්න සෙල්ලම් කරන්න,නංගි එනවා සෙල්ලම්කරනවා
අක්කා කතා කලා,අක්කා කතාකරනවා
ගන්න නංගි,ගන්නවා නංගි
අක්කා තරහා නෑ වගේ,අක්කා තරහා නෑ
අපරාදේ මම අක්කා එක්ක රණ්ඩු කළේ,අපරාදේ මම අක්කා සමඟ රණ්ඩුවෙනවා
මමත් මේ වගේ එයාට දුන්නා නම් කොච්චර හොඳද,මම මේ වගේ එයා දෙනවා නම් කොච්චර හොඳ
චූටි දුව කොහෙද ගියේ,චූටි දුව කොහෙද යනවා
මම කෑම හැදුවා,මම කෑම හදනවා
කන්න එන්න,කනවා එනවා
අම්මාටත් රණ්ඩුව මතක නෑ වගෙයි,අම්මා රණ්ඩුව මතක නෑ
ඇයට හරි සතුටු හිතුනා,ඇය හරි සතුට හිතෙනවා
නංගි ඔයා කන්නේ නැත්නම් මට දෙන්න,නංගි ඔයා කනවා නැත්නම් මට දෙනවා
අයියාටත් මතක නෑ වගේ,අයියා මතක නෑ
තාත්තා ආවා,තාත්තා එනවා
තාත්තා දුව එක්ක මේසයේ වාඩි වුණා,තාත්තා දුව මේසය වාඩිවෙනවා
හැමෝම හිනා වෙවී කෑම කෑවා,හැමෝම හිනාවෙනවා කෑම කනවා
මේ හැමෝම මට ආදරෙයිනෙ,මේ හැමෝම මට ආදරෙයි
අපරාදේ මම කේන්ති ගත්තේ,අපරාදේ මම කේන්ති
කේන්තිය හොඳ නෑ,කේන්තිය හොඳ නෑ
හිතට අමාරුයි,හිත අමාරු
ඇඟට අමාරුයි,ඇඟ අමාරු
ඒ නිසා පස්සේ හැමදාම හිනා වෙලා ඉන්න ඕනා,ඒ නිසා පස්සේ හැමදාම හිනාවෙනවා ඉන්නවා ඕනා
එයා හැමදාම රෑට ඇවිත් මුහුදට එබිලා බලනවා,එයා හැමදාම රෑ එනවා මුහුද එබෙනවා බලනවා
අද හැම තැනම කලුවරයි,අද හැම තැන කලුවර
හඳ අහසට ඇවිත් මුහුදට එබුණා,හඳ අහස එනවා මුහුද එබෙනවා
මූණ බලන්න,මූණ බලනවා
මොනවත් පේන්නේ නෑ,මොනවත් පේනවා නෑ
හඳට හරිම දුකයි,හඳ ගොඩාක් දුක
හඳ අඬන්න පටන් ගත්තා,හඳ අඬනවා පටන්ගන්නවා
ඇයි හඳ ඔයා අඬන්නෙ,ඇයි හඳ ඔයා අඬනවා
සුළඟ ඇසුවා,සුළඟ අසනවා
අද මගේ මූණ පේන්නේ නෑ,අද මගේ මූණ පේනවා නෑ
හඳ අඬමින් කිව්වා,හඳ අඬනවා කියනවා
අනේ මම නම් දන්නේ නෑ,අනේ මම දන්නවා නෑ
හඳ ඒ ඇයි කියල,හඳ ඒ ඇයි
වැස්ස වහින්න පටන් ගත්තා,වැස්ස වහිනවා පටන්ගන්නවා
හඳ වැස්සේ තෙමි තෙමී ඇඬුවා,හඳ වැස්සේ තෙමෙනවා තෙමෙනවා අඬනවා
ඇයි හඳ අඩන්නේ,ඇයි හඳ අඬනවා
වැස්ස ඇහුවා,වැස්ස අහනවා
අද මගේ මූණ පේන්නේ නෑ,අද මගේ මූණ පේනවා නෑ
හඳ කිව්වා,හඳ කියනවා
ඇත්ත තමයි,ඇත්ත
අනේ මම නම් දන්නේ නෑ ඒ ඇයි කියලා,අනේ මම දන්නවා නෑ ඒ ඇයි
වැස්ස කිව්වා,වැස්ස කියනවා
ඊලඟට වළාකුලක් පාවලා ආවා,ඊලඟ වළාකුල පාවෙනවා එනවා
ඇයි හඳ ඔයා මේ අඬන්නෙ,ඇයි හඳ ඔයා මේ අඬනවා
වළාකුල ඇහුවා,වළාකුල අහනවා
අනේ මම ආසයි හැමදාම දිලිසෙන්න,අනේ මම ආසා හැමදාම දිලිසෙනවා
මගේ මූණ පේන්නේ නෑ,මගේ මූණ පේනවා නෑ
අද මාව පේන්නේම නෑ,අද මම පේනවා නෑ
හඳ කිවුවා,හඳ කිවුවා
ඇත්ත තමයි,ඇත්ත
ඒත් අනේ මම දන්නේ නෑ ඒ ඇයි කියලා,ඒත් අනේ මම දන්නේ නෑ ඒ ඇයි කියලා
ඉර නම් දන්නවා ඇති,ඉර දන්නවා ඇති
අපි ඉරගෙන් අහලා බලමු,අපි ඉර අහනවා බලනවා
වළාකුල කිව්වා,වළාකුල කියනවා
වළාකුල ගියා ඉර හම්බවෙන්න,වළාකුල යනවා ඉර හම්බවෙනවා
ඉර අද හරි රස්නෙයි,ඉර අද හරි රස්නෙ
බලන්නත් අමාරුයි,බලනවා අමාරු
වළාකුල ඈත ඉඳන් ඉරට කතා කළා,වළාකුල ඈත ඉඳන් ඉර කතාකරනවා
ඉර හඳ අඬනවා,ඉර හඳ අඬනවා
අද එයාගේ මූණ පේන්නේ නෑ කියලා,අද එයා මූණ පේනවා නෑ
අනේ ඒ ඇයි කියලා කියන්නකෝ,අනේ ඒ ඇයි කියනවා
මම හරි ආසයි දැනගන්න,මම හරි ආසා දන්නවා ගන්නවා
ඒක දිග කතන්දරයක්,ඒක දිග කතන්දරය
වළාකුලට තේරේවිද දන්නේ නෑ,වළාකුල තේරෙනවා දන්නවා නෑ
වළාකුල ආශාවෙන් කිව්වා,වළාකුල ආශව කියනවා
අනේ ඉර මට කියලා දෙන්නකෝ,අනේ ඉර මට දෙනවා
හොඳයි වළාකුල ඔළුව වැනුවා,හොඳ වළාකුල ඔළුව වනනවා
වළාකුල දන්නවාද,වළාකුල දන්නවා ද
අහසේ ඉන්නේ මෙන්න මේ වගේ,අහසේ ඉන්නවා මේ වගේ
ඉර ලොකු කතන්දරයක් කියන්න පටන් ගත්තා,ඉර ලොකු කතන්දර කියනවා පටන්ගන්නවා
හඳ ඒක අහගෙන හිටියා,හඳ ඒක අහනවා ඉන්නවා
කියන්නකෝ ඇයි හඳ එළිය දෙන්නේ නැත්තේ අද,කියනවා ඇයි හඳ එළිය දෙනවා නෑ අද
හඳ ඇත්තටම එළිය දෙන්නේ නෑ,හඳ ඇත්ත එළිය දෙනවා නෑ
හඳ කහපාටින් දිලිසෙන්නේ මගේ එළිය වැටුනාම,හඳ කහ දිලිසෙනවා මගේ එළිය වැටෙනවා
මෙන්න මේ වගේ,මෙන්න මේ වගේ
ඒත් අද ඒ එළිය වැටුණු කොටස පොළොවට පේන්නේ නෑ,ඒත් අද ඒ එළිය වැටෙනවා කොටස පොළොව පේනවා නෑ
පොළවට පේන්නේ කළුවර පැත්ත,පොළව පේනවා කලුවර පැත්ත
එතකොට බබාලා අහස බැලුවාට හඳ පේන්නේ නෑ,එතකොට බබා අහස බලනවා හඳ පේනවා නෑ
හඳ මුහුදට එබුණාට මුහුණ පේන්නෙත් නෑ,හඳ මුහුද එබෙනවා මුහුණ පේනවා නෑ
ඒත් ටික දවසකින් ආයෙත් පේන්න පටන්ගන්නවා ඉර කිව්වා,ඒත් ටික දවස ආයෙත් පේනවා පටන්ගන්නවා ඉර කියනවා
ඒ කොහොමද,ඒ කොහොමද
වළාකුල ඇසුවා,වළාකුල අහනවා
හඳ හැමදාම එක තැන ඉන්නේ නෑ,හඳ හැමදාම එක තැන ඉන්නවා නෑ
හඳ දවසින් දවස හෙමින් හෙමින් පොළොව වටේ කැරකෙනවා,හඳ දවස දවස හෙමින් හෙමින් පොළොව වටේ කැරකෙනවා
ඉර කියාගෙන කියාගෙන ගියා,ඉර කියානවා කියානවා යනවා
වළාකුල කල්පනාවෙන් අහගෙන හිටියා,වළාකුල කල්පනා අහනවා ඉන්නවා
නෑ නෑ හඳ මාමාට මගේ එළිය වැටෙන්නේ හැමදාම එක වගේ,නෑ නෑ හඳ මාමා මගේ එළිය වැටෙනවා හැමදාම එක වගේ
ඒත් එක වගේ පෙනෙන්නේ නෑ,ඒත් එක වගේ පෙනවා නෑ
හැමදාම එක වගේ ඉර එළිය වැටෙනවා නම් ඇයි හැමදාම එක වගේ පෙනෙන්නේ නැත්තෙ,හැමදාම එක වගේ ඉර එළිය වැටෙනවා නම් ඇයි හැමදාම එක වගේ පෙනවා නෑ
අනේ මට තේරෙන්නේ නෑ,අනේ මට තේරෙනවා නෑ
වළාකුල දුකින් කිව්වා,වළාකුල දුක කියනවා
හඳ දවස් විසි අටකට වරක් පොළොව වටේ කැරකෙනවා,හඳ දවස විසිඅට වරක් පොළොව වටේ කැරකෙනවා
එතකොට හඳ මූණට එක වගේ එළිය වැටුනාට එක් එක දවසෙදි පොළොවට පෙනෙන හැටි වෙනස් වෙනවා,එතකොට හඳ මූණ එක වගේ එළිය වැටෙනවා එක් එක දවස පොළොව පෙනෙනවා හැටි වෙනස්
එතකොට පොළොවේ ඉන්න බබාලාට හඳේ ඉර එළියේ වැටුණු කොටස පෙනෙන්නේ විවිධ විදියට,එතකොට පොළොව ඉන්නවා බබා හඳ ඉර එළිය වැටෙනවා කොටස පෙනෙනවා විවිධ
දැන් තේරුණාද ඔයාට,දැන් තේරෙනවා ඔයා
ඉර ඇහුවා,ඉර ඇහනවා
දැන් මට තේරුණා,දැන් මට තේරෙනවා
හරියට හරි,හරි හරි
ඉර කිව්වා,ඉර කියනවා
දැන් නම් හඳට ගොඩක් සතුටුයි,දැන් හඳ ගොඩාක් සතුට
ඉතින් ඊට පස්සේ හඳ හැමදාම නොඉවසිල්ලෙන් එබී බලන් ඉන්නවා,ඉතින් ඊට පස්සේ හඳ හැමදාම ඉවසනවා නෑ එබෙනවා බලනවා ඉන්නවා
එදා නිවාඩු දවසක්,එදා නිවාඩු දවස
තාත්තා ඇහැරුනේ ටිකක් පරක්කු වෙලා,තාත්තා අවදිවෙනවා ටික පරක්කු
හැබැයි නිවාඩු දවස් වල උදේට ගෙදර ඇතුලේ වගේම එළියේ සද්දේ අද ඇහෙන්නේ නෑ,හැබැයි නිවාඩු දවස උදේ ගෙදර ඇතුල වගේ එළිය සද අද ඇහෙනවා නෑ
මොකද අද දෙන්නාගේ සද්දයක් නැත්තේ,මොකද අද දෙක සද්ද නෑ
තාත්තා ඇහුවේ අම්මාගෙන්,තාත්තා අහනවා අම්මා
ඔය ඉන්නේ කාමරයට වෙලා,ඉන්නවා කාමරය
පාසලේ වැඩ කරනවා වෙන්න ඇති,පාසල වැඩකරනවා
අම්මා කිව්වේ ළමයි දෙන්නා ගැන,අම්මා කියනවා ළමයි දෙක ගැන
ඒත් සද්ද නැතුව ඉන්න පුරුද්දක් ඒ දෙන්නාට නෑනෙ,ඒත් සද්ද නෑ ඉන්නවා පුරුද්ද ඒ දෙක නෑ
තාත්තා කිව්වේ හිනාවෙලා,තාත්තා කියනවා හිනාවෙනවා
මාත් ඒක හිතුවා,මම ඒක හිතනවා
අම්මා කිව්වේ ටිකක් හිමින්,අම්මා කියනවා ටික හිමින්
තාත්තා ගියේ කම්මැලි කමින්,තාත්තා යනවා කම්මැලි
පූසාත් නිදි,පූසා නිදි
ඌ ඔළුව උස්සලා බලලා ආයෙත් නිදාගත්තා,ඌ ඔළුව උස්සනවා බලනවා ආයෙත් නිදාගන්නවා
මොකද වෙනදා නම් මේ වෙද්දි එයා එක්ක සෙල්ලම් කරනවා,මොකද වෙනදා මේ එයා සමඟ සෙල්ලම්කරනවා
අද එයා නෑනේද,අද එයා නෑ ද
තාත්තා දැක්කා සීයා එනවා,තාත්තා දකිනවා සීයා එනවා
සීයා කියන්නේ අම්මාගේ තාත්තා,සීයා අම්මා තාත්තා
සීයා ළමයි දෙන්නාට හරිම ආදරෙයි,සීයා ළමයි දෙක ගොඩාක් ආදරෙයි
ළමයි දෙන්නා ඇවිදගෙන ආවේ කිසිම කලබලයක් නැතුව,ළමයි දෙක ඇවිදිනවා එනවා කිසිම කලබලය නෑ
සීයාත් එක්කම ළමයි දෙන්නා ගෙදර ඇතුලට ආවා,සීයා එක්ක ළමයි දෙක ගෙදර ඇතුල එනවා
